,"Realistic, ε=0.1, Q₁=0","Optimistic, ε=0, Q₁=5"
821,73.5,84.85000000000001
822,72.8,84.89999999999999
823,73.0,84.89999999999999
824,74.0,85.05
825,73.0,84.89999999999999
826,73.15,84.7
827,72.7,84.89999999999999
828,73.2,84.85000000000001
829,72.15,84.85000000000001
830,72.65,84.95
831,72.45,84.95
832,73.3,84.8
833,72.25,84.89999999999999
834,73.75,85.0
835,73.65,85.1
836,72.6,85.2
837,73.15,85.2
838,73.95,85.1
839,73.25,85.05
840,73.15,84.85000000000001
841,73.15,85.0
842,73.6,85.25
843,72.85000000000001,85.2
844,73.25,85.1
845,73.1,85.25
846,73.55000000000001,85.1
847,73.15,85.25
848,74.2,85.1
849,73.05,85.05
850,73.8,85.25
851,72.5,85.45
852,72.89999999999999,85.25
853,73.85000000000001,85.1
854,72.89999999999999,85.1
855,72.89999999999999,85.15
856,72.45,85.1
857,73.95,85.05
858,74.15,85.0
859,73.0,84.89999999999999
860,73.3,85.15
861,74.15,85.25
862,73.55000000000001,84.95
863,75.35,85.0
864,73.5,85.1
865,73.0,85.1
866,73.85000000000001,85.05
867,74.0,85.15
868,74.15,85.05
869,74.6,85.05
870,73.7,85.25
871,73.15,85.35000000000001
872,73.5,85.35000000000001
873,74.2,85.39999999999999
874,74.35000000000001,85.45
875,74.0,85.7
876,74.45,85.39999999999999
877,74.25,85.5
878,73.7,85.45
879,74.45,85.25
880,74.0,85.3
881,73.9,85.3
882,73.85000000000001,85.3
883,74.5,85.65
884,73.3,85.5
885,73.6,85.35000000000001
886,74.75,85.35000000000001
887,75.05,85.39999999999999
888,74.35000000000001,85.5
889,73.6,85.65
890,74.0,85.45
891,74.15,85.39999999999999
892,74.15,85.35000000000001
893,73.55000000000001,85.45
894,74.25,85.45
895,74.35000000000001,85.39999999999999
896,74.45,85.45
897,74.5,85.39999999999999
898,74.9,85.45
899,74.6,85.39999999999999
900,74.55000000000001,85.35000000000001
901,74.0,85.2
902,73.1,85.39999999999999
903,73.95,85.39999999999999
904,73.1,85.35000000000001
905,74.1,85.25
906,74.35000000000001,85.1
907,74.3,85.2
908,74.5,85.25
909,73.55000000000001,85.35000000000001
910,73.7,85.39999999999999
911,73.55000000000001,85.35000000000001
912,74.15,85.65
913,74.15,85.35000000000001
914,73.55000000000001,85.6
915,74.0,85.75
916,74.5,85.85000000000001
917,74.45,85.9
918,74.35000000000001,85.95
919,73.85000000000001,85.9
920,75.3,85.8
921,74.15,85.75
922,74.6,85.65
923,75.35,85.7
924,74.8,85.65
925,75.7,85.6
926,75.35,85.55
927,75.64999999999999,85.35000000000001
928,75.64999999999999,85.35000000000001
929,75.94999999999999,85.2
930,75.4,85.15
931,75.4,85.05
932,75.5,85.1
933,74.25,85.0
934,75.35,85.35000000000001
935,74.95,85.35000000000001
936,74.95,85.55
937,74.8,85.65
938,74.3,85.65
939,75.35,85.6
940,74.5,85.45
941,74.9,85.35000000000001
942,75.85,85.39999999999999
943,76.4,85.35000000000001
944,74.8,85.39999999999999
945,74.9,85.6
946,75.75,85.65
947,75.1,85.55
948,74.9,85.85000000000001
949,74.2,85.6
950,73.8,85.6
951,75.7,85.7
952,74.2,85.75
953,73.0,85.7
954,74.85000000000001,86.0
955,75.1,85.95
956,75.05,85.9
957,74.4,86.1
958,73.65,86.4
959,74.45,86.3
960,76.1,86.1
961,74.25,85.95
962,75.2,86.0
963,73.95,86.05000000000001
964,74.65,85.85000000000001
965,76.4,85.85000000000001
966,76.0,86.05000000000001
967,76.05,86.0
968,76.14999999999999,86.15
969,75.75,86.25
970,76.44999999999999,86.1
971,76.6,86.15
972,74.95,86.25
973,75.8,86.05000000000001
974,75.5,86.2
975,74.7,86.3
976,75.1,86.05000000000001
977,75.1,86.15
978,75.8,86.0
979,74.45,85.75
980,75.05,85.85000000000001
981,76.1,85.85000000000001
982,75.5,86.0
983,76.2,86.15
984,75.14999999999999,86.1
985,75.35,86.0
986,76.3,86.05000000000001
987,74.75,86.1
988,74.95,86.1
989,74.65,86.0
990,74.55000000000001,86.05000000000001
991,74.8,85.95
992,73.95,86.05000000000001
993,74.75,85.95
994,75.25,85.9
995,75.55,85.9
996,74.5,85.85000000000001
997,75.05,86.15
998,75.5,85.95
999,75.2,86.05000000000001
